esp32_timestamp,server_timestamp,sample_index,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12
1362615,2025-07-10 14:47:54.090,0,402,402,402,402,217,217,217,217,191,191,191,191
1362615,2025-07-10 14:47:54.090,1,402,402,402,402,217,217,217,190,191,191,191,191
1362615,2025-07-10 14:47:54.090,2,111,111,111,111,190,190,190,190,191,191,187,187
1362615,2025-07-10 14:47:54.090,3,111,111,111,111,190,190,190,189,187,187,187,187
1362615,2025-07-10 14:47:54.090,4,1036,1036,1036,1036,189,189,189,189,187,187,187,187
1362615,2025-07-10 14:47:54.090,5,1036,1036,1036,1036,189,189,189,189,194,194,194,194
1362615,2025-07-10 14:47:54.090,6,106,106,106,106,189,189,189,189,194,194,194,194
1362615,2025-07-10 14:47:54.090,7,106,106,106,106,189,189,189,190,194,194,190,190
1362615,2025-07-10 14:47:54.090,8,1050,1050,1050,1050,190,190,190,190,190,190,190,190
1362615,2025-07-10 14:47:54.090,9,1050,1050,1050,1050,190,190,190,188,190,190,190,190
1362615,2025-07-10 14:47:54.090,10,89,89,89,89,188,188,188,188,187,187,187,187
1362615,2025-07-10 14:47:54.090,11,89,89,89,89,188,188,188,192,187,187,187,187
1362615,2025-07-10 14:47:54.090,12,1068,1068,1068,1068,192,192,192,192,187,187,197,197
1362615,2025-07-10 14:47:54.090,13,1068,1068,1068,1068,192,192,192,186,197,197,197,197
1362615,2025-07-10 14:47:54.090,14,68,68,68,68,186,186,186,186,197,197,197,197
1362615,2025-07-10 14:47:54.090,15,68,68,68,68,186,186,186,195,185,185,185,185
1362615,2025-07-10 14:47:54.090,16,1096,1096,1096,1096,195,195,195,195,185,185,185,185
1362615,2025-07-10 14:47:54.090,17,1096,1096,1096,1096,195,195,195,183,185,185,190,190
1362615,2025-07-10 14:47:54.090,18,48,48,48,48,183,183,183,183,190,190,190,190
1362615,2025-07-10 14:47:54.090,19,48,48,48,48,183,183,183,197,190,190,190,190
1362615,2025-07-10 14:47:54.090,20,1116,1116,1116,1116,197,197,197,197,196,196,196,196
1362615,2025-07-10 14:47:54.090,21,1116,1116,1116,1116,197,197,197,181,196,196,196,196
1362615,2025-07-10 14:47:54.090,22,24,24,24,24,181,181,181,181,196,196,184,184
1362615,2025-07-10 14:47:54.090,23,24,24,24,24,181,181,181,199,184,184,184,184
1362615,2025-07-10 14:47:54.090,24,1132,1132,1132,1132,199,199,199,199,184,184,184,192
1362615,2025-07-10 14:47:54.090,25,1132,1132,1132,1132,199,199,199,178,192,192,192,192
1362615,2025-07-10 14:47:54.090,26,4092,4092,4092,4092,178,178,178,178,192,192,192,192
1362615,2025-07-10 14:47:54.090,27,4092,4092,4092,4092,178,178,178,203,192,192,193,193
1362615,2025-07-10 14:47:54.090,28,1163,1163,1163,1163,203,203,203,203,193,193,193,193
1362615,2025-07-10 14:47:54.090,29,1163,1163,1163,1163,203,203,203,176,193,193,193,193
1362615,2025-07-10 14:47:54.090,30,4079,4079,4079,4079,176,176,176,176,185,185,185,185
1362615,2025-07-10 14:47:54.090,31,4079,4079,4079,4079,176,176,176,204,185,185,185,185
